Fraction,Population,Recruitment Duration,Release Duration
0.8537699371132235,Active,0.51,2.61
0.0787758827332725,Irreversibly Silent,0.51,2.61
0.8586437373368403,Active,0.51,2.71
0.0787758827332725,Irreversibly Silent,0.51,2.71
0.8631655774136584,Active,0.51,2.81
0.0787758827332725,Irreversibly Silent,0.51,2.81
0.8673606850232594,Active,0.51,2.91
0.0787758827332725,Irreversibly Silent,0.51,2.91
0.8712526680480246,Active,0.51,3.01
0.0787758827332725,Irreversibly Silent,0.51,3.01
0.8748634261614354,Active,0.51,3.11
0.0787758827332725,Irreversibly Silent,0.51,3.11
0.8782132703782387,Active,0.51,3.21
0.0787758827332725,Irreversibly Silent,0.51,3.21
0.8813210310370344,Active,0.51,3.31
0.0787758827332725,Irreversibly Silent,0.51,3.31
0.8842041542152846,Active,0.51,3.41
0.0787758827332725,Irreversibly Silent,0.51,3.41
0.886878883367814,Active,0.51,3.51
0.0787758827332725,Irreversibly Silent,0.51,3.51
0.8893605502291761,Active,0.51,3.61
0.0787758827332725,Irreversibly Silent,0.51,3.61
0.891662900437753,Active,0.51,3.71
